asin,title,summary
B00008ZD31,Converse Chuck Taylor All Star Core Hi (Little Kid),"Converse Chuck Taylor All Star Hi Top sneakers for toddlers/youth in navy canvas with rubber soles, recommended to order half size down."
B0000A504C,K-Swiss 501 Classic Tennis Shoe (Little Kid),"Comfortable infants' shoe with full-grain leather, signature five-stripe detailing, and durable rubber outsole for retro style and traction."
B0002MB3IE,Merrell Panther Athletic Water Sandal (Toddler/Little Kid/Big Kid),"Adjustable, two-strap water sandal with leather upper, M-Select Grip outsole for traction, M-Select Fresh lining for odor control, and cushioned EVA footbed for all-day comfort."
B0002MB366,Merrell Chameleon Low A/C Hiking Boot (Little Kid/Big Kid),"Lightweight, waterproof hikers with suede and mesh upper, hook-and-loop strap, and EVA footbed for comfort and support. Features M-Select FRESH odor control and M-Select GRIP for enhanced traction."
B0002MKHT0,NIKE Grade School Roshe One 1 SE Anthracite/Gym Red 859605-003 Shoe,Affordable minimalist running shoe with EVA sole that comes in original box.
B0002UUCYM,Capezio Boy's 442 Tapster Tap Shoe,Capezio's Tapster is a lace-up beginner's tap shoe featuring a foam footbed and non-slip rubber sole.
B00008ZD31,Converse Chuck Taylor All Star Core Hi (Little Kid),"Converse Kids' Chuck Taylor All Star Hi Top in Navy, 100% canvas with rubber sole, recommended to order 1/2 size down."
B0000A504C,K-Swiss 501 Classic Tennis Shoe (Little Kid),"Infant's K-Swiss Classic Original shoe features full-grain leather, signature five-stripe design, three-piece toe, D-ring lacing, and a molded rubber outsole for traction and durability."
B0002MB3IE,Merrell Panther Athletic Water Sandal (Toddler/Little Kid/Big Kid),"Adjustable 2-strap water sandal with quick-drying leather upper, M-Select Fresh lining for odor control, EVA footbed for comfort, M-Select Grip outsole for traction, and gore closure for secure fit."
B0002MB366,Merrell Chameleon Low A/C Hiking Boot (Little Kid/Big Kid),"Lightweight Chameleon Low A/C Waterproof hiking shoes for kids feature suede and mesh uppers, hook-and-loop strap and bungee laces, odor-controlling mesh lining, comfortable footbed, and durable, gripping outsoles."
B0002MKHT0,NIKE Grade School Roshe One 1 SE Anthracite/Gym Red 859605-003 Shoe,"Affordable, minimalist Roshe Run sneakers with EVA sole, originally released in 2012 at a $70 price point."
B0002UUCYM,Capezio Boy's 442 Tapster Tap Shoe,"Capezio's Tapster is a beginner-friendly tap shoe featuring lace-up closure for a secure fit, foam footbed for comfort, and a rubber patch for non-slip support."
B0006FM9BM,Converse Chuck Taylor All Star Core Hi (Little Kid),"Converse Chuck Taylor All Star Hi Top for toddlers and youth; runs half a size large; navy, canvas material, rubber sole."
B0008F5KZM,adidas Big Kids Superstar 2G Sneaker,"100% leather basketball shoes with compression-molded EVA midsole for lightweight cushioning, removable length-measuring sock liner for accurate fit, and non-marking outsole for indoor use."
B0009QVFT0,Zephz Wide Traxx Soccer Cleat Youth,"Zephz Youth Wide Traxx soccer cleats are designed for wider feet, with a dual-cleat sole for traction on all surfaces, durable synthetic upper, and customizable Pick-A-Color inserts."
B0009RLR2Y,Kenneth Cole Reaction T-Flex Oxford (Toddler),"Kenneth Cole Reaction Lace Up Oxford: a handsome lace-up oxford with a square toe, moc toe stitching, and a padded footbed."
B0009RLRHY,Kenneth Cole REACTION Little Kid/Big Kid Flex-A-Gon Monk Strap,"Kenneth Cole REACTION offers trendy and affordable leather shoes with adjustable strap closure, metal buckle detail, padded collar, and leather lining."
B0009RLSRI,Kenneth Cole REACTION Big Kid Over The Edge Athleisure Sneaker,"Kenneth Cole REACTION offers trendy, versatile, affordable shoes inspired by technology, music, and pop culture. Made with 100% leather, rubber sole, contrast stitching, mesh inner lining, and padded tongue and collar."
B0009V90QA,Itasca Kids Youth Boy's Icebreaker Winter Boot Snow,"Durable, waterproof winter boot with suede upper, TPR shell, and Thinsulate insole for warmth and dryness in outdoor activities."
B0009VNB5Q,"NIKE Kid's JR Magista Obra II FG, Black/White - Paramount Blue, Youth Size 6","Nike Magista Obra II FG soccer cleats for boys in size 6, black with white and blue accents, brand new in original box."
B0009XKOOK,Hush Puppies Bridgeport Boot (Little Kid/Big Kid),"Durable ankle-high suede boots with water and stain-resistant features, a flexible sole, and comfortable padding."
B000A2LH3C,CONVERSE Kids' All Star Core Slip On Pr,"Converse All Stars: slip-on design, canvas upper, rubber toe cap, hidden elastic panels, soft lining, cushioned insole, striped midsole, classic outsole, girl's sizes run two whole sizes smaller."
B000B2G24K,Timberland Back Road Hiker Boot (Toddler/Little Kid),"Waterproof, durable leather Timberland hiking boots for toddlers, featuring a shock-absorbing footbed and rugged rubber outsole for outdoor exploration and traction."
B000B2HVMW,Merrell Jungle Moc (Toddler/Little Kid/Big Kid),"Merrell Jungle Moc Kids: Slip-on shoes with perforated footbeds for breathability, Air Cushion midsole for comfort, elastic bands for easy fit, water/stain-resistant leather or suede upper, and sticky rubber outsole with excellent grip."
B000B2KL4W,Merrell Jungle Moc (Toddler/Little Kid/Big Kid),"Merrell Jungle Moc Kids: Comfortable slip-on with breathable perforated footbed, supportive Air Cushion midsole, durable leather upper, and nonmarking outsole for stability on diverse terrain."
B000BC8ZNG,Heelys Little Kid/Big Kid Laser Skate,"Heely's are unique athletic shoes that feature a removable stealth wheel in the heel. They allow users to seamlessly transition from walking or running to rolling, and can also be transformed into street shoes by removing the wheel."
B000BC8ZPY,Heelys Little Kid/Big Kid Radical Skate,"Heely's are unique athletic shoes with a removable wheel in the heel, allowing for seamless transitions between walking, running, and rolling."
B000BF10SA,Kenneth Cole REACTION Little Kid/Big Kid Two Step Sr. Cap Toe Oxford,"REACTION by Kenneth Cole offers stylish, affordable shoes for boys, inspired by technology, music, and pop culture, featuring the latest trends and versatility."
B000BF3MCC,Kenneth Cole REACTION Toddler/Little Kid Pen and Paper Loafer,"Kenneth Cole REACTION line offers trendy and affordable leather shoes with a rubber sole, inspired by technology, music, and pop culture."
B000BF3MVS,Kenneth Cole REACTION Toddler/Little Kid Flyguy Sneaker,"Kenneth Cole REACTION offers trendy and versatile shoes inspired by technology, music, and pop culture, catering to boys with a focus on sneakers."
B000BF3BBY,Kenneth Cole REACTION Little Kid/Big Kid Pen and Paper Sr. Loafer,"KENNETH COLE REACTION offers trendy, versatile, and affordable shoes for boys, inspired by technology, music, and pop culture."
B000BJI5HA,Converse CT Kids' First Star Leather High Top Sneaker,White Converse First Star Hi canvas sneakers in size 1 for boys.
