asin,title,summary
9792252916,"Casio Men's Quartz Resin Casual Watch, Color:Black (Model: W59-1V)","Casio Classic Watch #59-1V: A timeless style with digital display, daily alarm, hourly time signal, stopwatch, auto calendar, micro-light illumination, water resistance, and 7-year battery life."
9999666418,Men's NY London Rose Gold Bezel Black Leather Strap Triple Time Zone Luxury Watch Analog Quartz,"NY London Triple Time Zone Chronograph Watch features a metal case, quartz movement, leather strap, chronograph dial, and extra battery. With a 54mm dial size, 10mm case thickness, and adjustable strap length, it fits most wrists. It includes a one-year warranty."
9999666442,NY London Men’s Wrist Watch Triple Time Zone Chronograph Display Analog Quartz Movement with Black Leather Strap NY-London-Men,"Men's triple time zone chronograph watch with PU leather strap, quartz movement, metal case, 54mm dial, 10mm case thickness, interchangeable battery, and one year warranty."
B00005RVNI,Kenneth Cole New York Men's Quartz Stainless Steel Dress Watch(Model: KC3243),"Kenneth Cole's stainless steel watch features a quartz movement, black dial, date function, and water resistance to 30 meters. Its durable alloy construction makes it rust-proof and corrosion-resistant, while the push-button fold-over clasp ensures a secure fit."
B0000643Q8,Skagen Men's Quartz Titanium Casual Watch(Model: 105LTX),"Sophisticated Skagen men's watch with titanium construction, scratch-resistant crystal, date function, water resistance up to 99 feet, and a lifetime limited warranty."
B000068X4M,Kenneth Cole New York Men's Quartz Stainless Steel Dress Watch(Model: KC3227),"Kenneth Cole stainless steel tank-style watch with quartz movement, date function, luminous hands, and water resistance to 99 feet. The watch features a rectangular dial, bracelet band with polished and brushed steel, and a limited lifetime warranty excluding normal wear and tear."
B00006A7DQ,"Kenneth Cole New York Men's Quartz Stainless Steel and Leather Dress Watch, Color:Black (Model: KC1104)","Kenneth Cole stainless steel watch with a black leather band features a minimalist ""tank-style"" design and a date function. Water resistant to 30 meters, it has a quartz movement, mineral crystal, and a 29.3 mm case diameter. Includes a limited lifetime warranty (excluding normal wear and tear)."
B00006I550,Casio Men's Watch EF101D-1AV,100M water-resistant Edifice watch with quartz movement and mineral crystal.
B00006I54Q,Casio - CMD30B1A,"A remote control wristwatch that operates TVs, cable boxes, and VCRs, featuring an alarm, stopwatch, hourly time signal, auto-calendar, and 15-month battery life."
B00006I5XR,TIMEX Men's 20021 Analog Dress Watch,"Timex watch with extra-long stainless steel band, Indiglo night-light, 8-year battery life, and water resistance to 99 feet (30 meters)."
B00006I5XQ,TIMEX Men's 20001 Easy Reader Dressw Watch,"Stylish Timex Easy Reader watch with Indiglo nightlight, expandable silver band, and water resistance up to 98 feet. Made from stainless steel and brass."
B00006I5Y5,TIMEX Men's 46691 Metal Tech Sports and Dress Analog Watch,"Timex watch featuring 50M water resistance, Indiglo illumination for easy time-reading in darkness, adjustable stainless-steel band with a silver-metal finish."
B00006I5YG,Timex Men's T-51931 Watch,"Timex Ironman Triathlon watch features a black case, Indiglo night-light, and Flix wrist flick activation. It includes sport timing capabilities (100-hour chronograph, 100-lap memory recall), training log, two time zones, five alarms, and water resistance up to 100 meters."
B0000C9ZCB,Skagen Men's Quartz Stainless Steel Dress Watch(Model: 240LSX),"Large stainless steel watch with silver dial and band. Quartz movement, mineral crystal, 34 mm case diameter, water resistant to 30 meters."
B0000C9ZBQ,"Skagen Men's Quartz Stainless Steel Dress Watch, Color:Silver-Toned (Model: 233LGSC)","Skagen Two-Tone Mesh Band Watch: 36mm stainless steel case, silver-white dial, gold indicators, stainless steel mesh band, quartz movement, mineral crystal, water-resistant to 99 feet."
B0000C9ZC9,Skagen Men's Quartz Titanium and Rubber Sport Watch(Model: 235LTRB),"Contemporary 35 mm titanium watch featuring a black dial, rubber strap, and quartz movement, with water resistance to 30 M."
B0000C9ZCM,"Skagen Men's Quartz Stainless Steel and Leather Dress Watch, Color:Black (Model: 324LSLB)","Brushed stainless steel watch with black leather band and dial. Quartz movement, mineral crystal, 29mm case, water resistant to 99 feet."
B0000C9ZBS,Skagen Men's Quartz Stainless Steel Dress Watch(Model: 233LSS),"Skagen watch features brushed stainless steel case, silver dial, mesh band, quartz movement, mineral crystal, 34mm case diameter, and 99ft water resistance."
B0000C9ZC8,Skagen Men's Quartz Titanium and Rubber Sport Watch(Model: 235LTR),"Large brushed titanium case with silver dial and rubber strap, featuring a 35 mm case diameter, scratch-resistant mineral crystal, and water resistance to 99 feet."
B0000C9ZBT,Skagen Men's Quartz Stainless Steel Dress Watch(Model: 233LSSB),"Skagen watch with a sleek stainless steel case and mesh band, featuring a 34 mm diameter, quartz movement, mineral crystal, and water resistance to 99 feet."
B0000C9ZDM,Skagen Men's Quartz Titanium and Stainless Steel Dress Watch(Model: 530LTMB),"Skagen's men's watch features a sleek black titanium case and mesh band, a black four-paneled dial, and precision Japanese quartz movement. Its 100% titanium construction provides durability and comfort, while the 3 ATM water resistance offers protection against splashes and rain."
B0000C9ZDA,Skagen Denmark 430LSX Steel Collection Super-Thin Case Brushed Silvertone Dial Mens Watch,"Sleek and elegant Skagen watch with 34mm stainless steel case, silver dial, and mesh band. Quartz movement, mineral crystal, water-resistant to 99 feet."
B0000C9ZBP,"Skagen Men's Quartz Stainless Steel Dress Watch, Color:Multicolour (Model: 233LGS)","Skagen minimalist watch with brushed gold case, silver dial, and stainless steel mesh band featuring a 34 mm case diameter and quartz movement."
B0000C9ZCQ,Skagen Men's Quartz Stainless Steel Dress Watch(Model: 355LSSM),"Skagen men's watch with stainless steel mesh band, 34mm charcoal gray dial, quartz movement, and 99 feet (30 M) water resistance."
B0000C9ZCR,Skagen Men's Quartz Stainless Steel Dress Watch(Model: 355LSSN),"Skagen watch with stainless steel case and mesh band, featuring a blue dial with date function, quartz movement, and water resistance up to 30 meters."
B0000C9ZBX,Skagen Men's 233LTMN Titanium Black Mesh Watch,"Sleek and minimalist Skagen 233LTMN watch features a blue dial with silver indicators and hands, framed by a black titanium case and a comfortable black-tone titanium mesh band. Powered by reliable Japanese quartz movement, it offers water resistance up to 30 meters."
B0000C9ZCN,"Skagen Men's Quartz Stainless Steel and Leather Dress Watch, Color:Black (Model: 324LSLC)","Classic men's watch with brushed stainless steel case, white dial, black leather band, quartz movement, mineral crystal, 29 mm case diameter, water resistance to 99 feet."
B0000C9ZCX,Skagen Men's Quartz Stainless Steel Dress Watch(Model: 358LSSB),"Contemporary Skagen watch featuring a large stainless steel case with black dial on a stainless steel mesh band, boasting elegant Danish design, water resistance to 30 meters, and quartz movement protected by a mineral crystal."
B0000CARF3,"Kenneth Cole New York Men's Quartz Stainless Steel and Leather Dress Watch, Color:Black (Model: KC1214)","Stainless steel Kenneth Cole watch with quartz movement, luminous hands, date function, and water resistance up to 30 meters. The watch has a silver face, black leather band, and a polished bezel set within a brushed stainless steel body with rounded sides."
