asin,title,summary
B00004VWJ3,"Birki's Super Pu, Black, 44 M EU (13 Women /11 M US Men)","Birkenstock's Black Super Birki Clog offers all-day comfort with a durable polyurethane construction, washable and replaceable cork/latex insole, and excellent traction for gardening."
B000072UMA,Converse Chuck Taylor All Star Core Ox,"Converse Ctas Pro Ox: Canvas sneaker with lunarlon cushioning, gusseted tongue, and traditional lace-up and toe design. Dimensions: 14x5x4 inches, weight: 1.87 lbs."
B000094VPP,Converse Chuck Taylor All Star Core Ox,"Converse Ctas Pro Ox: low-top canvas sneakers with lunarlon cushioning, gusset tongue, lace-up front, and classic rubber features."
B00009ZM91,Merrell Women's Jungle Moc Slip On,"Comfortable slip-on from Merrell with a synthetic upper, antimicrobial lining, Merrell Air Cushion heel, and 3mm lug depth for casual wear."
B0000A4FD7,Zephz Butterfly Cheerleading Shoe Womens,"Kid's cheerleading shoes with customizable side ""Z,"" featuring synthetic upper, rubber outsole, and EVA midsole. Includes color inserts in multiple shades. Available in zebra print in various colors. Dimensions: 10 x 7 x 4 inches; Weight: 1 pound."
B0000A4FD5,Zephz Butterfly Cheerleading Shoe Womens,"Kids' cheerleading shoes with customizable team colors, featuring a synthetic upper, rubber outsole, EVA midsole, various zebra print options, and included color inserts (red, blue, yellow, orange, green, maroon, purple, black, brown, navy). Dimensions: 10 x 7 x 4 inches. Weight: 1 pound."
B0000A51F0,K-Swiss Women's Classic LX,"K-Swiss court-style sneaker with herringbone tread and D-ring lace-up system, featuring 100% leather construction."
B0000A53OI,K-SWISS Women's Ultrascendor Tennis Shoe,"The Ultrascendor is a lightweight, responsive sneaker designed by K-Swiss for enhanced performance on the court. Its skeletalized outsole and Cushion Board minimize weight while elevating gameplay and giving athletes an edge in returning serves."
B0000ACXIV,Prince Women's QT Scream Low Tennis Shoe,"Lightweight performance tennis shoe with updated stability features, high-performance cushioning, and a 6-month wear guarantee. Features Arch Bridge and Shock Eraser technologies for comfort and support."
B0000AFSY8,Converse Chuck Taylor All Star Core Ox,"Iconic Chuck Taylor All Star sneaker, recognizable silhouette with star patch, vulcanized rubber sole, defines personal style and individuality."
B0000AJNT0,K-SWISS Women's ST329,"K-Swiss ST329 cross training shoe:
- Women's leather upper with mesh trim, rubber mold K-Swiss shields
- Compression-molded EVA midsole with Shock Spring technology for cushioning
- Durable rubber outsole for traction"
B0000CFJY7,Converse Chuck Taylor All Star Core Ox,"Refreshed Converse All Star, featuring 100% canvas construction, rubber sole, lightweight cushioning, snug fit, and classic design elements like metallic eyelets, toe guard, and All Star heel patch."
