asin,title,summary
B00006XXGO,Converse Chuck Taylor All Star Canvas Low Top Sneaker,"Iconic Chuck Taylor All Star sneaker with breathable canvas construction, durable rubber sole, OrthoLite cushioning, and classic lace-up design."
B0000727QQ,M991GL New Balance M991 Men's Running Shoe,"Synthetic/mesh trainer for mild overpronation, featuring reflective details, shock-absorbing ENCAP/C-CAP/ABZORB midsole, and lightweight blown rubber outsole."
B000072UML,Converse Unisex Adults' Chuck Taylor All Star Low-Top Sneakers,"Stylish all-black Chuck Taylors with a soft inner lining, rubberized exterior, and iconic logo, perfect for leisure wear."
B000072UPN,Converse Chuck Taylor All Star Canvas High Top Sneaker,"Timeless Chuck Taylor All Star sneaker with breathable canvas, a durable rubber sole, OrthoLite cushioning, an ankle patch, and a versatility that enhances with wear."
B000072US4,Converse Chuck Taylor All Star High Top,"Iconic Chuck Taylor All Stars: Lightweight, breathable canvas sneakers with OrthoLite cushioning, medial eyelets for breathability, durable rubber sole, and the signature ankle patch."
B000072UMN,Converse Chuck Taylor All Star Core Ox,"Unisex designer Converse shoes, made without leather, feature durable canvas and rubber soles for classic Converse comfort. Original basketball shoe design with UK and US sizing being identical."
B000087VAL,Stacy Adams Men's Garrison Wingtip Oxford,"Stacy Adams leather wingtip oxford with brogue detailing, perforated accents, memory foam insole for comfort, non-leather outsole with traction pattern, and flexible construction for durability."
B000089V7W,Converse Kids' Chuck Taylor All Star Canvas High Top Sneaker,"Timeless Chuck Taylor All Star sneakers, featuring lightweight canvas, a durable rubber sole, and the iconic ankle patch, providing versatility, style, and durability since 1917."
B000089V5B,Converse Chuck Taylor All Star High Top,"Iconic Chuck Taylor All Star sneaker with lightweight canvas construction, durable rubber sole, cushioning OrthoLite insole, unmistakable ankle patch, and versatile, fashionable style."
B00008KZCG,Converse Chuck Taylor All Star High Top,"Iconic chuck taylor sneaker with lightweight canvas construction, durable rubber sole, and OrthoLite insole for cushioning, delivering versatility and style while aging gracefully."
B00008ZCN4,Converse All Star Slim Slip Black,"Converse All Star Slim Slip Black sneakers feature a canvas upper, slimmer design, and slip-on convenience for casual wear."
B00009HGBT,Sebago Men's Kerry Loafer,"Sebago Kerry Loafer: Handsewn leather moccasin with welt construction, full-grain leather lining, steel shank, and dual-tanned leather outsole."
B00009KEXO,Justin Boots Men's Ropers Equestrian Boot,"10"" roper boots with a grained Deerlite leather upper, J-Flex Comfort System, and a 1 1/8"" heel, ensuring durability, comfort, and a classic Western style."
B00009KEXS,Justin Boots Men's Ropers Equestrian Boot,"10"" Western ropers with:
- Deerlite leather upper and vamp
- Roper toe
- J-Flex insole for comfort
- Leather outsole for grip
- 1 1/8"" heel
- 10"" height"
B00009PQCO,adidas Performance Men's Kaiser 5 Liga Soccer Cleat,"Copa Mundial-inspired soccer cleats with full-grain leather upper, rubber sole, and traditional fit for comfort and performance on firm ground."
B00009PPHY,PUMA Men's King Classic Top DI Soccer Cleat,"Puma King Classic Top DI FG men's soccer cleats feature a soft k-leather upper for natural ball control, asymmetric lacing, and a fold-over tongue for a glove-like fit. Durable cleats provide grip on firm natural surfaces, while GripTex ankle lining ensures comfort."
B00009PO42,Puma Men's King Top DI FG Soccer Shoe,"Puma Top DI FG soccer shoe for hard surfaces, featuring thin leather for comfort, ball control, ankle support, fold-over tongue, and lightweight conical-stud outsole."
B00009ZM7Z,Merrell Men's Jungle Moc Slip-On Shoe,"Versatile men's Jungle Moc slip-on shoe from Merrell offers comfort for outdoor adventures and casual outings. Features a stain and water-resistant leather upper, cushioned EVA footframe, breathable mesh lining, and shock-absorbing Merrell air cushion in the heel."
B0000A1R91,Justin Original Work Boots Men's Double Comfort Work Boot,"Justin's 8"" Men's Double Comfort Lacer Boots feature a seven-layer double-comfort insole with customizable arch support and shock absorption. Made in the USA from premium full-grain leather and a fiberglass shank, these workboots offer durable construction and all-day comfort."
B0000A1REB,Justin Boots Men's Classic Western Boot,"Classic black leather cowboy boots with silver stitching and the J-Flex Comfort System for out-of-the-box comfort, featuring a leather-covered insole for energy return and a triple-density insole board."
B0000A522W,K-Swiss ST329 Mens Sneakers,"K-Swiss's ST329 leather shoes with rubber soles combine classic, low-profile styling with California sport heritage."
B0000A5227,K-Swiss st329 Men's black/silver SIZE 6.5,"K-Swiss's Classic tennis shoes feature a retro design with a leather upper and ghillie-style lacing for support. The durable rubber outsole provides traction, while the cushioned midsole offers comfort."
B0000A52UF,K-SWISS Men's Ultrascendor Tennis Shoe,"Lightweight tennis sneakers featuring leather upper, padded collar, perforated toe box, Cushion Board construction, and Aosta rubber outsole for breathability, comfort, and support during performance."
B0000A5229,K-Swiss st329 Men's black/silver SIZE 7,"Low-profile leather tennis shoes from K-Swiss with ghillie lacing, traction-enhancing outsole, and cushioned midsole for comfort."
B0000A6XS9,Converse Chuck Taylor All Star Canvas High Top Sneaker,"Iconic Chuck Taylor All Star sneaker with breathable canvas upper, durable vulcanized rubber sole, cushioning OrthoLite insole, and classic ankle patch."
B0000A522B,K-Swiss Men's K-SWISS ST329 CASUAL SHOES 7.5 (BLACK/SILVER),"Classic, retro-styled leather casual shoes from K-Swiss, the brand known for its all-leather tennis shoes."
B0000ACXKC,Prince Men's QT Scream Low Tennis Shoe,"Performance tennis shoe with enhanced stability, cushioning, and a comfortable fit, combining classic design with technical updates."
B0000AFT8E,Converse Chuck Taylor All Star Canvas High Top Sneaker,"Iconic Chuck Taylor All Star sneaker with breathable canvas upper, durable rubber sole, ortholite insole for cushioning, and signature ankle patch, offering versatility and timeless style."
B0000AFSYD,Converse Chuck Taylor All Star Canvas Low Top Sneaker,"The Chuck Taylor All Star sneaker, an American classic since 1917, features a lightweight canvas upper, breathable design, durable rubber sole, and OrthoLite insole for superior cushioning."
B0000AFT9F,Converse Unisex Chuck Taylor All-Star High-Top Casual Sneakers in Classic Style and Color and Durable Canvas Uppers,"Iconic Chuck Taylor All Stars: classic, canvas hi-top sneakers with vulcanized rubber sole, lace-up closure, and cultural authenticity."
B0000AS8DL,adidas Excelsior Low,"adidas Excelsior Low baseball cleats feature scientifically optimized C4S stud pattern for enhanced traction, stability, speed, and balance. Its innovative cushioning and support systems provide a comfortable and competitive edge on the field."
B0000AX3J6,Rocky Men's Fort Hood-M,"8"" Rocky Fort Hood Boots: Waterproof black leather and nylon boots with cushioning, support, and abrasion-resistant outsole for various activities, including wilderness expeditions and casual wear."
B0000DCS5T,Sperry Top-Sider Men's Billfish 3-Eye Boat Shoe,"Sperry Billfish Boat Shoe:

* Durable leather and air mesh construction
* Wave-Siping rubber outsole for wet/dry traction
* Breathable mesh panels and shock-absorbing EVA midsole for comfort
* Secure 360-degree lacing system and rustproof eyelets
* Stylish and versatile for both on-land and at-sea wear"
B0000DYKET,KEEN Men's Newport Sandal,"KEEN Newport sandal with secure fit strap for comfort, washable nubuck leather for durability, multi-directional lug outsole for traction, and metatomical footbed for personalized support."
B0000DYO0A,Atomic Aquatics Split Fins,"Atomic Aquatics' Splitfin features a split blade that forms wings during propulsion, reducing drag and creating lift for effortless, extended swims with enhanced speed and power."
B0000DZCYI,Saucony Men's Grid Raider Running Shoe,"Saucony running shoes feature a Grid cushioning system for optimal cushioning and control, ensuring a comfortable and supportive fit for athletes during training."
B0000E0C7M,Pro Line Men's Rubber Hip Waders,"Waterproof and insulated rubber boot featuring padded knee protection, adjustable side strap, and deep cleated outsole for traction."
B0000E02XL,Timberland Men's Premium Wp Chukka Newman Boot,"Timberland offers premium, waterproof leather footwear for all ages, including sandals, boots, and oxfords. Their signature wheat six-inch boot is renowned for its durability, comfort, and eco-friendly construction."
B0000E02V7,Timberland Men's Premium Wp Chukka Newman Boot,"Timberland offers high-quality leather waterproof boots (sandals, oxfords, tall, hiking, winter) for men, women, and kids, renowned for durability, comfort, and eco-consciousness."
B0000E6781,La Sportiva Miura Climbing Shoe - Men's Yellow 41,"High-performance climbing shoe, the Miura features a slingshot rand for enhanced edge support and a multi-paneled lining for a perfect fit. It's ideal for technical face climbing, bouldering, and gym climbing, thanks to its 4mm Vibram XS Edge rubber sole, which provides exceptional friction on sharp edges and prevents smearing."
B0000E6703,La Sportiva Men's Katana Climbing Shoe,"Vibram XS Grip rubber climbing slipper with slingshot rand, Powerhinge sole, and Laspoflex midsole. Provides precision, comfort, and support for bouldering and rock climbing."
B0000E678B,La Sportiva Men's Miura Climbing Shoe,"The La Sportiva Miura, a versatile climbing shoe, provides precision control and comfort on various terrains. Its asymmetrical shape, Vibram XS Edge sole, Powerhinge system, and Slingshot Rand enhance grip, support, and edge control. The leather construction and Dentex lining ensure a comfortable fit."
B0000UWJQI,"Timberland Men's Icon 6"" Leather/Fabric Basic Boot","Durable Timberland Icon 6 Leather and Fabric boots with seam-sealed waterproof construction, rubber lug outsoles, and a comfortable, simple design suitable for various activities."
B0000WYV62,"Rocky Men's Postal TMC 8""-M","8"" USPS-approved postal duty boot features waterproof leather construction, padded collar and tongue, slip-resistant outsole, AEGIS Microbe Shield footbed odor control, and a PU Rocky Airport footbed for comfort and breathability."
B00018C91E,K-Swiss Men's ST329 Athletic Sneaker,"K-Swiss classic leather sneakers with a retro look, featuring a memory foam footbed, flexible sole, and non-marking outsole."
B00018C95A,K-Swiss Men's ST329 Sneaker,"Cult-classic St329 sneaker by K-Swiss, designed for durability and comfort with leather exterior, rubber outsole, cushioned midsole, and memory foam footbed."
B00019LFH2,Converse Women's Chuck Taylor All Star Low Top (International Version) Sneaker,"Iconic Chuck Taylor All Star sneakers: lightweight, breathable canvas, durable rubber sole, and OrthoLite insole for comfort."
B0001CWP4Q,Cole Haan Men's Owen High-Top Fashion Sneaker,"Cole Haan, an iconic American luxury brand established in 1928, offers a wide range of products including footwear, belts, handbags, and accessories. Known for its artisan quality and impeccable craftsmanship, Cole Haan brings a century-old legacy to its contemporary designs."
B0001FSB6Y,adidas Excelsior Low,"Adidas Excelsior Low baseball cleats enhance traction, stability, and agility with scientifically designed C4S stud formation, featuring patented cushioning, durable spikes, and a lace-up fit for optimal performance."
B0001KX7ZY,Rocky Men's Sport Utility Pro Hunting Boot,"Waterproof, insulated Sport Utility Pro boots from Rocky feature full-grain leather and nylon uppers, 1,000 gram Thinsulate insulation for warmth, and a Sport Utility outsole for traction."
B0001MLLS2,Sheepskin Low-top Travel Slippers (#925-01),"Low-cut sheepskin slippers provide comfort, warmth, and durability with intact natural fleece lining, non-slip cow-split leather sole, and snug initial fit that stretches with wear."
B0001O0C2G,Fila Men's Original Fitness Lea Classic Sneaker,"Fila's Original Fitness sneaker features a classic old-school look, breathable leather upper, and EVA midsole for comfort. Its rubber outsole provides traction and durability, while its bold styling and logo detailing enhance its fashion appeal."
B0001P4NA2,Five Ten Men's Spire Climbing Shoe,"Five-Ten Spire climbing shoe offers a great value for performance, featuring Stealth C4 rubber sole for edging, asymmetric slingshot rand for a secure fit, and a full-to-toe lacing system."
B0001PFQ6W,Five Ten Men's Guide (2012) Tenie Hiking Shoe,"Five Ten, known for high-performance footwear, specializes in ""dangerous sports"" footwear, using Stealth rubber soles and input from world-renowned athletes and guides, resulting in the preferred shoe brand for elite athletes in extreme sports."
B0001VQMDW,Mad Rock Men's Phoenix Lace Climber,"Mad Rock unlined leather climbing shoes offer extreme comfort with double-stitched durability. The FX5 rubber sole balances stickiness and hardness, while 3D molded heel cups aid in wild heel hooks. Designed for trad/multi-pitch, gym, guide rental, and crack climbing."
B0001X2S06,Converse Chuck Taylor All Star Spec Ox Sneaker,"Men's Converse All Star Ox Loden Green Canvas sneakers with a rubber suede sole, featuring seasonal color and material updates. Women's sizes: order 2 sizes up."
B0001X2SF6,Converse All Star Low,"Canvas upper, rubber sole Converse sneakers with package dimensions: 13.6"" x 5.4"" x 4.8"" and shipping weight: 2.4 lbs."
B0001Y91E6,Converse Chuck Taylor All Star Canvas Low Top Sneaker,"1917 Chuck Taylor sneakers: lightweight, breathable canvas and durable vulcanized rubber sole; ortholite insole for extra cushioning."
B0001Y8YBW,Converse Chuck Taylor All Star Core Hi,"Iconic Chuck Taylor All Star sneakers, recognized for their classic silhouette, star patch, and cultural authenticity, feature durable canvas upper, vulcanized rubber sole, and lace-up closure for a snug fit."
B0001Y91DW,Converse Chuck Taylor All Star Canvas Low Top Sneaker,"Iconic Chuck Taylor All Star sneakers:
- Lightweight canvas construction
- Durable vulcanized rubber sole
- Cushioned OrthoLite insole
- Versatile, timeless style"
B0001Y91EQ,Converse Chuck Taylor All Star Canvas Low Top Sneaker,"Iconic Chuck Taylor All Star sneaker with breathable canvas, durable rubber sole, and cushioned OrthoLite insole for versatility, fashion, and comfort."
