asin,title,summary
B000073R5V,Timberland Field Lace-Up Boot (Toddler/Little Kid/Big Kid),"Waterproof, scuff-proof leather toddler boots with padded collar, EVA footbed for cushioning, D-ring lacing, and durable outsole for traction in all conditions."
B000087S01,Timberland Field Lace-Up Boot (Toddler/Little Kid/Big Kid),"Rugged and durable Timberland toddler boots featuring scuff-proof leather, D-ring lacing, a padded collar, and an EVA footbed for cushioning. Ideal for outdoor play and everyday wear."
B0000A4FCF,zephz Butterfly Lo Cheerleading Shoe Kids,"Customize Zephz cheerleading shoes with 10 interchangeable color inserts (including zebra prints). Features include a stunt edge sole for grip, lightweight upper, and cushioned EVA midsole."
B0000A50X8,K-Swiss 801 Classic Tennis Shoe (Big Kid),"K-Swiss Classic Leather tennis shoes feature a full-grain leather upper with adjustable D-ring lacing, a breathable and odor-resistant removable insole for comfort, and a non-marking rubber sole for durability."
B0000AFSX4,"Timberland Kids' 6"" Premium Waterproof Boots for Toddlers","Kids' waterproof Timberland boots inspired by the originals, featuring durable construction and top-quality leather to protect feet in challenging conditions."
B0001YJ18M,Smoky Mountain Boots Children Mesquite Boots,"Man-made children's western boots with silver toe rand, synthetic material, plastic and rubber construction."
B0001YJ0YC,Smoky Mountain Girls' Mesquite Western Boot Round Toe - 1837C,"Stylish white synthetic leather children's boots from Smoky Mountain, featuring a Western design, durability, and comfort. Available in sizes 8.5-3."
B00020SHRG,Smoky Mountain Girls' Mesquite Western Boot Round Toe - 1837C,"Stylish Smoky Mountain Mesquite II White Boots for kids, crafted from durable synthetic leather, featuring a blend of western and modern aesthetics, available in sizes 8.5 - 3."
B00022OZV6,Smoky Mountain Girls' Mesquite Western Boot Round Toe White 1.5 D,"Full-grain leather Smoky Mountain Western Boots with round toe, rubber outsole, and western heel. Perfect for a traditional western look when paired with jeans."
B0002MB3MK,Merrell Allout Blaze Aerosport Girls Hiking Sneakers/Shoes,"Girls' hiking trainers with ventilated mesh upper for breathability, Unifly midsole for energy conversion, and Vibram outsole for traction."
B0002U1FU2,Jordan Nike Air 5 Retro (PS) Valentines Day Girls Basketball Shoes 440893-605,"The Nike Air Jordan 5 Retro (PS) ""Valentines Day"" Girls Basketball shoes, initially released in 1990, showcase Tinker Hatfield's iconic design with full grain leather, signature Jordan details, and a plastic lace lock."
B0002USCE4,Capezio Daisy 205 Ballet Shoe (Toddler/Little Kid),"Durable leather ballet slipper with chrome tanned suede outsole, pre-attached elastic strap, and wider fit designed for children. Order one size up and refer to the shoe fit guide for proper sizing."
B0002USPEQ,Capezio Toddler/Little Kid CG2002C Split Sole Ballet Shoe,"Capezio ballet shoes for girls feature a split sole with suede patches for effortless gliding and turns, and a free-floating arch for pointed toes. Made from 100% leather, they provide quality and comfort for young dancers."
B0002UUEE0,Bloch Dance Girl's Jazz Tap Tap Shoe,"Slip-on split sole tap shoe with jazz style leather upper, secured toe tap, techno heels, and elastic insert for a flexible fit. Designed with breathable fabric lining, reduced Achilles tendon pressure, and Shockwave tap plates."
B0002USBB8,Capezio Daisy 205 Ballet Shoe (Toddler/Little Kid),"Durable ballet slippers made of full leather with a soft suede sole, padded footbed, and adjustable elastic strap. Wider fit specifically for children, offering comfort and flexibility while dancing."
B0002XS4TO,New Balance Big Kid KJ574 Sneaker,"Performance-driven athletic footwear from New Balance, designed for optimal fit and support, without celebrity endorsements, focusing on innovation and quality."
B0002ZCBKA,Ugg Australia Girls-Big Kids K Classic Winter Boots,"UGG Australia's playful boots boast twin-faced sheepskin, suede heel guards, moisture-wicking insoles, and a woven logo. Its lightweight EVA outsole ensures all-day comfort. Shaft height measures 6 1/4 inches."
B000073R5V,Timberland Field Lace-Up Boot (Toddler/Little Kid/Big Kid),"Timberland Scuff Proof Field Boot for toddlers features waterproof, scuff-resistant leather, D-ring lacing, padded collar, EVA footbed for cushioning, and durable upper with a tractioned sole for stability."
B000087S01,Timberland Field Lace-Up Boot (Toddler/Little Kid/Big Kid),"Timberland Scuff Proof Field Boot for toddlers features waterproof scuff-proof leather, durable leather and synthetic upper, breathable mesh inlays, padded collar, breathable lining, and non-marking rubber outsole with lugs, providing protection, comfort, and traction for outdoor adventures."
B0000A4FCF,zephz Butterfly Lo Cheerleading Shoe Kids,"Customize Zephz cheer shoes with pick-A-color inserts for a comfortable grip, lightweight upper, cushioned midsole, and rubber outsole."
B0000A50X8,K-Swiss 801 Classic Tennis Shoe (Big Kid),"Classic leather tennis shoes for kids feature a secure fit with D-ring lacing, breathable insole, and lightweight design providing comfort and style."
B0000AFSX4,"Timberland Kids' 6"" Premium Waterproof Boots for Toddlers","Summary:

Inspired by Timberland's original boots, these waterproof kids' boots feature rugged construction and durable leather for optimal protection against outdoor elements like puddles, rain, and mud."
B0001YJ18M,Smoky Mountain Boots Children Mesquite Boots,"Children's western boots with metal toe rand made from man-made materials, featuring a pull-on closure, synthetic construction, western toe and heel, and rubber outsole."
B0001YJ0YC,Smoky Mountain Girls' Mesquite Western Boot Round Toe - 1837C,"Stylish white kids' Mesquite II boots, crafted from durable synthetic leather, blend western and modern fashion for everyday comfort in children's sizes 8.5-3."
B00020SHRG,Smoky Mountain Girls' Mesquite Western Boot Round Toe - 1837C,"Stylish Smoky Mountain Children's Mesquite II White Boots in children's sizes 8.5-3 feature a brilliant white design crafted from durable synthetic leather, perfect for everyday use and teaming with various outfits."
B00022OZV6,Smoky Mountain Girls' Mesquite Western Boot Round Toe White 1.5 D,Genuine leather Smoky Mountain Girls' Mesquite Western Boots with round toe and western heel feature a durable rubber outsole and convenient pull tabs for easy wear.
B0002MB3MK,Merrell Allout Blaze Aerosport Girls Hiking Sneakers/Shoes,"Merrell Allout Blaze Aerosport Girls Hiking Trainers are designed for speed hiking with a ventilated mesh upper for breathability, Unifly midsole for energy conversion and protection, Vibram outsole for grip, and vegan-friendly construction."
B0002U1FU2,Jordan Nike Air 5 Retro (PS) Valentines Day Girls Basketball Shoes 440893-605,"Nike Air Jordan 5 Retro (PS) ""Valentines Day"" Girls Basketball shoes feature full grain leather, plastic lace lock, WWII-inspired details, signature Jordan elements, and a rubber outsole."
B0002USCE4,Capezio Daisy 205 Ballet Shoe (Toddler/Little Kid),"Lightweight, durable leather ballet slippers with a suede sole for flexibility and a pre-attached elastic strap for snugness. Designed with a wider fit for children, order one size up from street shoe size."
